date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:21	11275/11275	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:49:14%20GMT	https://chestnutfeedery.com/2016/05/23/most-common-phrase/	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/2016/05/23/most-common-phrase/index.html	(from https://chestnutfeedery.com/)
13:49:22	2327/2327	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Apr%202018%2017:49:20%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fabout-us%2F&format=xml	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embedc6fd	(from https://chestnutfeedery.com/about-us/)
13:49:22	1078/1078	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Dec%202015%2008:07:59%20GMT	https://chestnutfeedery.com/wp-includes/js/comment-reply.min.js?ver=4.9.5	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-includes/js/comment-reply.min55fe.js	(from https://chestnutfeedery.com/about-us/)
13:49:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Apr%202018%2017:49:22%20GMT	https://chestnutfeedery.com/?p=23	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/index40a0.html	(from https://chestnutfeedery.com/history/)
13:49:23	2225/2225	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Apr%202018%2017:49:21%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fhistory%2F	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embed3bfd.json	(from https://chestnutfeedery.com/history/)
13:49:23	10205/10205	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:49:18%20GMT	https://chestnutfeedery.com/2016/04/19/japanese-trap-door-snails/	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/2016/04/19/japanese-trap-door-snails/index.html	(from https://chestnutfeedery.com/)
13:49:23	2322/2322	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Apr%202018%2017:49:22%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fhistory%2F&format=xml	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embedbaed	(from https://chestnutfeedery.com/history/)
13:49:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Apr%202018%2017:49:23%20GMT	https://chestnutfeedery.com/?p=13	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/index2dc4.html	(from https://chestnutfeedery.com/horse/)
13:49:24	2360/2360	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Apr%202018%2017:49:23%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fhorse%2F	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embed7297.json	(from https://chestnutfeedery.com/horse/)
13:49:24	2495/2495	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Apr%202018%2017:49:23%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fhorse%2F&format=xml	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embed1162	(from https://chestnutfeedery.com/horse/)
13:49:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Apr%202018%2017:49:24%20GMT	https://chestnutfeedery.com/?p=26	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/index88b9.html	(from https://chestnutfeedery.com/hours/)
13:49:25	2215/2215	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Apr%202018%2017:49:24%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fhours%2F	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embed7db0.json	(from https://chestnutfeedery.com/hours/)
